Date,"Cat"
2017-07-13,7027
2017-07-14,6292
2017-07-15,5995
2017-07-16,6503
2017-07-17,6989
2017-07-18,6805
2017-07-19,7048
2017-07-20,6935
2017-07-21,6552
2017-07-22,5891
2017-07-23,6382
2017-07-24,6558
2017-07-25,6377
2017-07-26,6435
2017-07-27,6242
2017-07-28,184813
2017-07-29,39450
2017-07-30,7186
2017-07-31,7138
2017-08-01,6955
2017-08-02,6819
2017-08-03,6926
2017-08-04,6583
2017-08-05,6069
2017-08-06,6168
2017-08-07,6743
2017-08-08,7026
2017-08-09,6924
2017-08-10,23279
2017-08-11,8395
2017-08-12,5999
2017-08-13,6275
2017-08-14,6672
2017-08-15,6435
2017-08-16,6800
2017-08-17,6666
2017-08-18,6515
2017-08-19,6164
2017-08-20,6657
2017-08-21,6486
2017-08-22,6711
2017-08-23,6763
2017-08-24,6344
2017-08-25,5953
2017-08-26,5685
2017-08-27,5715
2017-08-28,6606
2017-08-29,6693
2017-08-30,6768
2017-08-31,15867
2017-09-01,11103
2017-09-02,5997
2017-09-03,6198
2017-09-04,6705
2017-09-05,7115
2017-09-06,6856
2017-09-07,6950
2017-09-08,6569
2017-09-09,5990
2017-09-10,6222
2017-09-11,7331
2017-09-12,7328
2017-09-13,7410
2017-09-14,7702
2017-09-15,7437
2017-09-16,6181
2017-09-17,6663
2017-09-18,7552
2017-09-19,7519
2017-09-20,7476
2017-09-21,7055
2017-09-22,7124
2017-09-23,5725
2017-09-24,6788
2017-09-25,7339
2017-09-26,7048
2017-09-27,6868
2017-09-28,6983
2017-09-29,6323
2017-09-30,5636
2017-10-01,6324
2017-10-02,7070
2017-10-03,7580
2017-10-04,7013
2017-10-05,6930
2017-10-06,6384
2017-10-07,6092
2017-10-08,6414
2017-10-09,6913
2017-10-10,7388
2017-10-11,7285
2017-10-12,7233
2017-10-13,6451
2017-10-14,5943
2017-10-15,6345
2017-10-16,7135
2017-10-17,7126
2017-10-18,7107
2017-10-19,7592
2017-10-20,7040
2017-10-21,6250
2017-10-22,6907
2017-10-23,7784
2017-10-24,7548
2017-10-25,7391
2017-10-26,7311
2017-10-27,7053
2017-10-28,5890
2017-10-29,7062
2017-10-30,7436
2017-10-31,7027
2017-11-01,7450
2017-11-02,7482
2017-11-03,7351
2017-11-04,6773
2017-11-05,7289
2017-11-06,8410
2017-11-07,8426
2017-11-08,8161
2017-11-09,8229
2017-11-10,8369
2017-11-11,6538
2017-11-12,6807
2017-11-13,7532
2017-11-14,12797
2017-11-15,11242
2017-11-16,7738
2017-11-17,7583
2017-11-18,6556
2017-11-19,7395
2017-11-20,7836
2017-11-21,7523
2017-11-22,9331
2017-11-23,6873
2017-11-24,6118
2017-11-25,6193
2017-11-26,6721
2017-11-27,7174
2017-11-28,7379
2017-11-29,7274
2017-11-30,7268
2017-12-01,6841
2017-12-02,7092
2017-12-03,6486
2017-12-04,7080
2017-12-05,7326
2017-12-06,7214
2017-12-07,6988
2017-12-08,6192
2017-12-09,5700
2017-12-10,6107
2017-12-11,6884
2017-12-12,6924
2017-12-13,6652
2017-12-14,6394
2017-12-15,6506
2017-12-16,5674
2017-12-17,5898
2017-12-18,6545
2017-12-19,6367
2017-12-20,6228
2017-12-21,6252
2017-12-22,5438
2017-12-23,5102
2017-12-24,5215
2017-12-25,5283
2017-12-26,5600
2017-12-27,5656
2017-12-28,5928
2017-12-29,5756
2017-12-30,5513
2017-12-31,5676
2018-01-01,6018
2018-01-02,6216
2018-01-03,6486
2018-01-04,7557
2018-01-05,6385
2018-01-06,6304
2018-01-07,7103
2018-01-08,8209
2018-01-09,7735
2018-01-10,7822
2018-01-11,8385
2018-01-12,7919
2018-01-13,6311
2018-01-14,6785
2018-01-15,7200
2018-01-16,9011
2018-01-17,8421
2018-01-18,8376
2018-01-19,7569
2018-01-20,6793
2018-01-21,8206
2018-01-22,7902
2018-01-23,8238
2018-01-24,7679
2018-01-25,7705
2018-01-26,6952
2018-01-27,6254
2018-01-28,7126
2018-01-29,7873
2018-01-30,7856
2018-01-31,7901
2018-02-01,7565
2018-02-02,7078
2018-02-03,6296
2018-02-04,6817
2018-02-05,7794
2018-02-06,8134
2018-02-07,7963
2018-02-08,7323
2018-02-09,7114
2018-02-10,6102
2018-02-11,6643
2018-02-12,7598
2018-02-13,7720
2018-02-14,6906
